id,modulo,teoremas,fuente_descripcion,pilar,categoria,descripcion,dependencias,nombres,INTERPRETACION_objeto,INTERPRETACION_morfismos
mathlib-ringtheory-hahnseries,Mathlib.RingTheory.HahnSeries,373,Basic,SET,algebra,"Hahn Series If Γ is ordered and R has zero, then the type HahnSeries Γ R , which we denote as R⟦Γ⟧ , consists of formal series over Γ with coefficients in R , whose supports are partially well-ordered. With further structure on R and Γ , we can add further structure on R⟦Γ⟧ , wit",mathlib-algebra-bigoperators | mathlib-algebra-order | mathlib-analysis-rclike | mathlib-data-finset | mathlib-data-finsupp | mathlib-data-rat,HahnSeries | HahnModule | SummableFamily | Equiv,,
mathlib-linearalgebra-dimension,Mathlib.LinearAlgebra.Dimension,372,Basic,SET,algebra,Dimension of modules and vector spaces Main definitions The rank of a module is defined as Module.rank : Cardinal . This is defined as the supremum of the cardinalities of linearly independent subsets. Main statements LinearMap.rank_le_of_injective : the source of an injective li,mathlib-data-set | mathlib-linearalgebra-basis | mathlib-linearalgebra-tensorproduct | mathlib-logic-equiv | mathlib-ringtheory-localization,Dimension | HasRankNullity | IsQuadraticExtension,,
mathlib-data-ereal,Mathlib.Data.EReal,370,Basic,SET,algebra,"The extended real numbers This file defines EReal , ℝ with a top element ⊤ and a bottom element ⊥ , implemented as WithBot (WithTop ℝ) . EReal is a CompleteLinearOrder , deduced by typeclass inference from the fact that WithBot (WithTop L) completes a conditionally complete linea",mathlib-data-ennreal | mathlib-data-nat,EReal,,
mathlib-combinatorics-additive,Mathlib.Combinatorics.Additive,366,títulos del subárbol,SET,combinatorics,combinatorics additive: Approximate subgroups; The Cauchy-Davenport theorem; Convolution; Relation of covering by cosets; Dissociation and span; Doubling and difference constants,mathlib-algebra-bigoperators | mathlib-algebra-charp | mathlib-algebra-order | mathlib-analysis-complex | mathlib-analysis-fourier | mathlib-data-fin,Additive | IsApproximateAddSubgroup | IsApproximateSubgroup | DevosMulRel | CovBySMul,,
mathlib-topology-compactness,Mathlib.Topology.Compactness,366,títulos del subárbol,SET,topology,topology compactness: Topological bases in compact sets and compact spaces; Compact sets and compact spaces; Compactly coherent spaces and the k-ification; Compactly generated topological spaces; Delta-generated topological spaces; Lindelöf sets and Lindelöf spaces,mathlib-analysis-locallyconvex | mathlib-data-ereal | mathlib-data-finset | mathlib-data-set | mathlib-order-filter | mathlib-topology-category,Compactness | CompactlyCoherentSpace | UCompactlyGeneratedSpace | CompactlyGeneratedSpace | DeltaGeneratedSpace,,
mathlib-analysis-locallyconvex,Mathlib.Analysis.LocallyConvex,365,Basic,SET,analysis,"Local convexity This file defines absorbent and balanced sets. An absorbent set is one that ""surrounds"" the origin. The idea is made precise by requiring that any point belongs to all large enough scalings of the set. This is the vector world analog of a topological neighborhood ",mathlib-analysis-convex | mathlib-analysis-rclike | mathlib-data-real | mathlib-grouptheory-groupaction | mathlib-linearalgebra-dual | mathlib-linearalgebra-finsupp,LocallyConvex | AbsConvex | AbsConvexOpenSets | BarrelledSpace | Balanced,,
mathlib-order-upperlower,Mathlib.Order.UpperLower,361,Basic,SET,set-theory,"Properties of unbundled upper/lower sets This file proves results on IsUpperSet and IsLowerSet , including their interactions with set operations, images, preimages and order duals, and properties that reflect stronger assumptions on the underlying order (such as PartialOrder and",mathlib-data-set | mathlib-logic-equiv | mathlib-order-hom | mathlib-order-interval,UpperLower,,
mathlib-categorytheory-localization,Mathlib.CategoryTheory.Localization,357,títulos del subárbol,CAT,category-theory,category theory localization: Localization of adjunctions; Lifting of bifunctors; Bousfield localization; ObjectProperty.isLocal is stable under transfinite compositions; Calculus of fractions; Composition of localization functors,mathlib-categorytheory-adjunction | mathlib-categorytheory-limits | mathlib-categorytheory-monoidal | mathlib-categorytheory-morphismproperty | mathlib-categorytheory-objectproperty | mathlib-categorytheory-shift,Localization | IsInvertedBy₂ | Lifting₂ | LeftFraction | RightFraction,,
mathlib-categorytheory-morphismproperty,Mathlib.CategoryTheory.MorphismProperty,353,Basic,CAT,category-theory,Properties of morphisms We provide the basic framework for talking about properties of morphisms. The following meta-property is defined RespectsLeft P Q : P respects the property Q on the left if P f → P (i ≫ f) where i satisfies Q . RespectsRight P Q : P respects the property Q,mathlib-categorytheory-limits | mathlib-categorytheory-objectproperty | mathlib-order-interval,MorphismProperty | RespectsRight | RespectsLeft | Respects | RespectsIso,,
mathlib-ringtheory-spectrum,Mathlib.RingTheory.Spectrum,351,títulos del subárbol,SET,algebra,ring theory spectrum: Maximal spectrum of a commutative (semi)ring; Prime spectrum of a commutative (semi)ring; Chevalley's theorem; Chevalley's theorem with complexity bound; Constructible sets in the prime spectrum; Prime spectrum of a commutative (semi)ring as a type,mathlib-algebra-order | mathlib-algebra-polynomial | mathlib-data-dfinsupp | mathlib-order-heyting | mathlib-order-succpred | mathlib-ringtheory-localization,Spectrum | MaximalSpectrum | PiLocalization | DegreeType | InductionObj,,
mathlib-topology-emetricspace,Mathlib.Topology.EMetricSpace,348,Basic,SET,topology,Extended metric spaces Further results about extended metric spaces.,mathlib-algebra-order | mathlib-analysis-specialfunctions | mathlib-data-ennreal | mathlib-data-nat | mathlib-order-interval | mathlib-topology-compactness,EMetricSpace | BoundedVariationOn | LocallyBoundedVariationOn | EDist | PseudoEMetricSpace,,
mathlib-representationtheory-homological,Mathlib.RepresentationTheory.Homological,344,títulos del subárbol,SET,algebra,representation theory homological: The group cohomology of a `k`-linear `G`-representation; Group cohomology of a finite cyclic group; Functoriality of group cohomology; Hilbert's Theorem 90; Long exact sequence in group cohomology; The low-degree cohomology of a `k`-linear `G`-r,mathlib-algebra-category | mathlib-ringtheory-integralclosure,Homological | H1InfRes | IsCocycle₁ | IsCocycle₂ | IsCoboundary₁,,
mathlib-ringtheory-dedekinddomain,Mathlib.RingTheory.DedekindDomain,344,Basic,SET,algebra,"Dedekind rings and domains This file defines the notion of a Dedekind ring (domain), as a Noetherian integrally closed commutative ring (domain) of Krull dimension at most one. Main definitions - IsDedekindRing defines a Dedekind ring as a commutative ring that is Noetherian, int",mathlib-algebra-order | mathlib-algebra-polynomial | mathlib-data-int | mathlib-order-filter | mathlib-ringtheory-fractionalideal | mathlib-ringtheory-polynomial,DedekindDomain | DimensionLEOne | IsDedekindRing | IsDedekindDomain | IsDedekindDomainDvr,,
mathlib-probability-distributions,Mathlib.Probability.Distributions,340,títulos del subárbol,SET,probability,probability distributions: Beta distributions over ℝ; Cauchy Distribution over ℝ; Exponential distributions over ℝ; Fernique's theorem for rotation-invariant measures; Gamma distributions over ℝ; Geometric distributions over ℕ,mathlib-algebra-order | mathlib-analysis-specialfunctions | mathlib-measuretheory-integral | mathlib-probability-independence | mathlib-probability-moments,Distributions | IsSetBernoulli | IsUniform | IsGaussian,,
mathlib-data-dfinsupp,Mathlib.Data.DFinsupp,331,Defs,SET,algebra,"Dependent functions with finite support For a non-dependent version see Mathlib/Data/Finsupp/Defs.lean . Notation This file introduces the notation Π₀ a, β a as notation for DFinsupp β , mirroring the α →₀ β notation used for Finsupp . This works for nested binders too, with Π₀ a",mathlib-algebra-bigoperators | mathlib-algebra-order | mathlib-data-finsupp | mathlib-data-set | mathlib-order-conditionallycompletelattice | mathlib-order-interval,DFinsupp | Lex,,
mathlib-data-seq,Mathlib.Data.Seq,330,Basic,SET,algebra,Basic properties of sequences (possibly infinite lists) This file provides some basic lemmas about possibly infinite lists represented by the type Stream'.Seq .,mathlib-data-enat | mathlib-data-nat,Seq | Computation | BisimO | IsBisimulation | Mem,,
mathlib-settheory-zfc,Mathlib.SetTheory.ZFC,329,Basic,SET,set-theory,"A model of ZFC In this file, we model Zermelo-Fraenkel set theory (+ choice) using Lean's underlying type theory, building on the pre-sets defined in Mathlib/SetTheory/ZFC/PSet.lean . The theory of classes is developed in Mathlib/SetTheory/ZFC/Class.lean . Main definitions ZFSet ",mathlib-data-fin | mathlib-data-set,ZFC | ZFSet | Definable | Definable₁ | Definable₂,,
mathlib-analysis-distribution,Mathlib.Analysis.Distribution,314,títulos del subárbol,SET,analysis,analysis distribution: Functions which vanish as distributions vanish as functions; Type classes for derivatives and the Laplacian; Distributions; Functions and measures of temperate growth; TemperedDistribution; Continuously differentiable functions with compact support,mathlib-algebra-order | mathlib-analysis-fourier | mathlib-analysis-locallyconvex | mathlib-analysis-specialfunctions | mathlib-data-fin | mathlib-data-nat,Distribution | ContDiffMapSupportedIn | ContDiffMapSupportedInClass | LineDeriv | LineDerivAdd,,
mathlib-order-monotone,Mathlib.Order.Monotone,312,Basic,SET,set-theory,"Monotonicity This file defines (strictly) monotone/antitone functions. Contrary to standard mathematical usage, ""monotone""/""mono"" here means ""increasing"", not ""increasing or decreasing"". We use ""antitone""/""anti"" to mean ""decreasing"". Main theorems monotone_nat_of_le_succ , monoto",mathlib-algebra-order | mathlib-data-int | mathlib-data-nat | mathlib-data-set | mathlib-logic-function | mathlib-order-bounds,Monotone | Antitone | MonotoneOn | AntitoneOn | StrictMono,,
mathlib-analysis-rclike,Mathlib.Analysis.RCLike,311,Basic,SET,analysis,"RCLike : a typeclass for ℝ or ℂ This file defines the typeclass RCLike intended to have only two instances: ℝ and ℂ. It is meant for definitions and theorems which hold for both the real and the complex case, and in particular when the real case follows directly from the complex ",mathlib-algebra-bigoperators | mathlib-algebra-order | mathlib-analysis-specialfunctions | mathlib-data-real | mathlib-linearalgebra-basis | mathlib-linearalgebra-dual,RCLike | IsRCLikeNormedField,,
mathlib-topology-semicontinuity,Mathlib.Topology.Semicontinuity,311,Basic,SET,topology,Lower and Upper Semicontinuity This file develops key properties of upper and lower semicontinuous functions. Main definitions and results We have some equivalent definitions of lower- and upper-semicontinuity (under certain restrictions on the order on the codomain): lowerSemico,mathlib-topology-compactness,Semicontinuity | SemicontinuousWithinAt | SemicontinuousOn | SemicontinuousAt | Semicontinuous,,
mathlib-data-rat,Mathlib.Data.Rat,308,Defs,SET,algebra,Basics for the Rational Numbers Summary We define the integral domain structure on ℚ and prove basic lemmas about it. The definition of the field structure on ℚ will be done in Mathlib/Algebra/Field/Rat.lean once the Field class has been defined. Main Definitions - Rat.divInt n d,mathlib-algebra-bigoperators | mathlib-algebra-order | mathlib-data-int | mathlib-data-nat | mathlib-data-pnat | mathlib-data-real,Rat | NNRat | NNRatCast,,
mathlib-logic-function,Mathlib.Logic.Function,306,Basic,LOG,logic,Miscellaneous function constructions and lemmas,mathlib-data-fin | mathlib-data-nat | mathlib-data-set | mathlib-logic-basic,Function | IsPartialInv | FactorsThrough | HasUncurry | Involutive,,
mathlib-algebra-monoidalgebra,Mathlib.Algebra.MonoidAlgebra,303,Basic,SET,algebra,Algebra structure on monoid algebras,mathlib-algebra-directsum | mathlib-data-finsupp | mathlib-linearalgebra-basis | mathlib-linearalgebra-finsupp | mathlib-order-filter | mathlib-ringtheory-gradedalgebra,MonoidAlgebra | Monic,,
mathlib-ringtheory-gradedalgebra,Mathlib.RingTheory.GradedAlgebra,302,Basic,SET,algebra,"Internally-graded rings and algebras This file defines the typeclass GradedAlgebra 𝒜 , for working with an algebra A that is internally graded by a collection of submodules 𝒜 : ι → Submodule R A . See the docstring of that typeclass for more information. Main definitions GradedRi",mathlib-algebra-directsum | mathlib-linearalgebra-finsupp | mathlib-linearalgebra-tensorproduct | mathlib-order-filter | mathlib-ringtheory-localization | mathlib-ringtheory-tensorproduct,GradedAlgebra | GradedAlgHom | GradedRing | NumDenSameDeg | HomogeneousLocalization,,
mathlib-ringtheory-wittvector,Mathlib.RingTheory.WittVector,299,Basic,SET,algebra,Witt vectors This file verifies that the ring operations on WittVector p R satisfy the axioms of a commutative ring. Main definitions WittVector.map : lifts a ring homomorphism R →+ S to a ring homomorphism 𝕎 R →+ 𝕎 S . WittVector.ghostComponent n x : evaluates the n th Witt poly,mathlib-algebra-charp | mathlib-algebra-mvpolynomial | mathlib-algebra-order | mathlib-data-nat,WittVector | IsPoly | IsPoly₂ | Isocrystal | IsocrystalHom,,
mathlib-topology-sets,Mathlib.Topology.Sets,284,títulos del subárbol,SET,topology,topology sets: Closed sets; Compact open covered sets; Compact sets; Open covers; Open sets; Clopen upper sets,mathlib-order-hom | mathlib-topology-compactness | mathlib-topology-continuousmap,Sets | Closeds | Clopens | IrreducibleCloseds | IsCompactOpenCovered,,
mathlib-analysis-real,Mathlib.Analysis.Real,283,títulos del subárbol,SET,analysis,analysis real: The cardinality of the reals; Representation of reals in positional system; Chudnovsky's formula for π; `Real.pi` is irrational; Leibniz's series for `π`; The Wallis formula for Pi,mathlib-algebra-order | mathlib-analysis-complex | mathlib-analysis-specialfunctions | mathlib-data-rat | mathlib-measuretheory-integral | mathlib-order-filter,Real | Hyperreal | IsSt | Infinitesimal | InfinitePos,,
mathlib-order-heyting,Mathlib.Order.Heyting,280,Basic,SET,set-theory,"Heyting algebras This file defines Heyting, co-Heyting and bi-Heyting algebras. A Heyting algebra is a bounded distributive lattice with an implication operation ⇨ such that a ≤ b ⇨ c ↔ a ⊓ b ≤ c . It also comes with a pseudo-complement ᶜ , such that aᶜ = a ⇨ ⊥ . Co-Heyting algeb",mathlib-order-booleanalgebra | mathlib-order-hom,Heyting | GeneralizedHeytingAlgebra | GeneralizedCoheytingAlgebra | HeytingAlgebra | CoheytingAlgebra,,
mathlib-analysis-fourier,Mathlib.Analysis.Fourier,277,títulos del subárbol,SET,analysis,analysis fourier: Fourier analysis on the additive circle; Multivariate Fourier series; Definition of BoundedContinuousFunction.char; The Fourier transform of the convolution; The Fourier transform; Derivatives of the Fourier transform,mathlib-algebra-bigoperators | mathlib-algebra-directsum | mathlib-algebra-monoidalgebra | mathlib-analysis-complex | mathlib-analysis-distribution | mathlib-analysis-rclike,Fourier | UnitAddTorus | FourierTransform | FourierTransformInv | FourierAdd,,
mathlib-order-category,Mathlib.Order.Category,268,títulos del subárbol,SET,set-theory,order category: The category of bounded distributive lattices; The category of bounded lattices; The category of bounded orders; The category of Boolean algebras; The category of complete lattices; The category of distributive lattices,mathlib-categorytheory-adjunction | mathlib-categorytheory-limits | mathlib-data-set | mathlib-order-heyting | mathlib-order-hom,Category | BddDistLat | Hom | BddLat | BddOrd,,
mathlib-linearalgebra-cliffordalgebra,Mathlib.LinearAlgebra.CliffordAlgebra,266,Basic,SET,algebra,"Clifford Algebras We construct the Clifford algebra of a module M over a commutative ring R , equipped with a quadratic form Q . Notation The Clifford algebra of the R -module M equipped with a quadratic form Q is an R -algebra denoted CliffordAlgebra Q . Given a linear morphism ",mathlib-algebra-category | mathlib-algebra-star | mathlib-grouptheory-groupaction | mathlib-linearalgebra-dual | mathlib-linearalgebra-tensorproduct | mathlib-ringtheory-gradedalgebra,CliffordAlgebra | EvenHom,,
mathlib-measuretheory-vectormeasure,Mathlib.MeasureTheory.VectorMeasure,264,Basic,SET,probability,"Vector-valued measures This file defines vector-valued measures, which are σ-additive functions from a set to an additive monoid M such that it maps the empty set and non-measurable sets to zero. In the case that M = ℝ , we called the vector measure a signed measure and write Sig",mathlib-topology-emetricspace,VectorMeasure | SignedMeasure | AbsolutelyContinuous | MutuallySingular | ExistsOneDivLT,,
mathlib-measuretheory-outermeasure,Mathlib.MeasureTheory.OuterMeasure,259,Basic,SET,probability,"Outer Measures An outer measure is a function μ : Set α → ℝ≥0∞ , from the powerset of a type to the extended nonnegative real numbers that satisfies the following conditions: 1. μ ∅ = 0 ; 2. μ is monotone; 3. μ is countably subadditive. This means that the outer measure of a coun",mathlib-algebra-order | mathlib-data-ennreal | mathlib-data-fin | mathlib-topology-order,OuterMeasure | IsCaratheodory | OuterMeasureClass,,
mathlib-order-booleanalgebra,Mathlib.Order.BooleanAlgebra,252,Basic,SET,set-theory,"Basic properties of Boolean algebras This file provides some basic definitions, functions as well as lemmas for functions and type classes related to Boolean algebras as defined in Mathlib/Order/BooleanAlgebra/Defs.lean . References <https://en.wikipedia.org/wiki/Boolean_algebra_",mathlib-data-set | mathlib-order-heyting,BooleanAlgebra | GeneralizedBooleanAlgebra,,
mathlib-ringtheory-tensorproduct,Mathlib.RingTheory.TensorProduct,249,Basic,SET,algebra,"The tensor product of R-algebras This file provides results about the multiplicative structure on A ⊗[R] B when R is a commutative (semi)ring and A and B are both R -algebras. On these tensor products, multiplication is characterized by (a₁ ⊗ₜ b₁) (a₂ ⊗ₜ b₂) = (a₁ a₂) ⊗ₜ (b₁ b₂) ",mathlib-algebra-category | mathlib-algebra-monoidalgebra | mathlib-algebra-mvpolynomial | mathlib-algebra-star | mathlib-linearalgebra-basis | mathlib-linearalgebra-finsupp,TensorProduct | IsEffective,,
mathlib-order-conditionallycompletelattice,Mathlib.Order.ConditionallyCompleteLattice,248,Basic,SET,set-theory,"Theory of conditionally complete lattices A conditionally complete lattice is a lattice in which every non-empty bounded subset s has a least upper bound and a greatest lower bound, denoted below by sSup s and sInf s . Typical examples are ℝ , ℕ , and ℤ with their usual orders. T",mathlib-algebra-order | mathlib-data-finset | mathlib-data-set | mathlib-order-bounds,ConditionallyCompleteLattice | ConditionallyCompleteLinearOrder | ConditionallyCompleteLinearOrderBot,,
mathlib-analysis-meromorphic,Mathlib.Analysis.Meromorphic,246,Basic,SET,analysis,"Meromorphic functions Main statements: MeromorphicAt : definition of meromorphy at a point MeromorphicAt.iff_eventuallyEq_zpow_smul_analyticAt : f is meromorphic at z₀ iff we have f z = (z - z₀) ^ n • g z on a punctured neighborhood of z₀ , for some n : ℤ and g analytic at z₀ .",mathlib-algebra-order | mathlib-analysis-specialfunctions,Meromorphic | MeromorphicAt | MeromorphicOn | Gamma | MeromorphicNFAt,,
mathlib-algebra-quaternion,Mathlib.Algebra.Quaternion,241,docstring propio,SET,algebra,"Quaternions In this file we define quaternions ℍ[R] over a commutative ring R , and define some algebraic structures on ℍ[R] . Main definitions QuaternionAlgebra R a b c , ℍ[R, a, b, c] : [Bourbaki, Algebra I ][bourbaki1989] with coefficients a , b , c (Many other references such",mathlib-algebra-star | mathlib-linearalgebra-dimension,Quaternion | QuaternionAlgebra,,
mathlib-algebra-charp,Mathlib.Algebra.CharP,240,Basic,SET,algebra,"Characteristic of semirings This file collects some fundamental results on the characteristic of rings that don't need the extra imports of Mathlib/Algebra/CharP/Lemmas.lean . As such, we can probably reorganize and find a better home for most of these lemmas.",mathlib-algebra-bigoperators | mathlib-data-int | mathlib-data-nat | mathlib-grouptheory-perm | mathlib-order-interval | mathlib-ringtheory-localization,CharP | MixedCharZero,,
mathlib-data-pnat,Mathlib.Data.PNat,239,Basic,SET,algebra,"The positive natural numbers This file develops the type ℕ+ or PNat , the subtype of natural numbers that are positive. It is defined in Data.PNat.Defs , but most of the development is deferred to here so that Data.PNat.Defs can have very few imports.",mathlib-algebra-bigoperators | mathlib-algebra-order | mathlib-data-int | mathlib-data-multiset | mathlib-data-nat | mathlib-logic-equiv,PNat | PrimeMultiset | Prime | Coprime | XgcdType,,
mathlib-ringtheory-fractionalideal,Mathlib.RingTheory.FractionalIdeal,238,Basic,SET,algebra,Fractional ideals This file defines fractional ideals of an integral domain and proves basic facts about them. Main definitions Let S be a submonoid of an integral domain R and P the localization of R at S . IsFractional defines which R -submodules of P are fractional ideals Frac,mathlib-ringtheory-dedekinddomain | mathlib-ringtheory-integralclosure | mathlib-ringtheory-localization,FractionalIdeal | IsFractional,,
mathlib-categorytheory-shift,Mathlib.CategoryTheory.Shift,236,Basic,CAT,category-theory,"Shift A Shift on a category C indexed by a monoid A is nothing more than a monoidal functor from A to C ⥤ C . A typical example to keep in mind might be the category of complexes ⋯ → C_{n-1} → C_n → C_{n+1} → ⋯ . It has a shift indexed by ℤ , where we assign to each n : ℤ the fun",mathlib-categorytheory-adjunction | mathlib-categorytheory-limits | mathlib-categorytheory-localization | mathlib-categorytheory-monoidal | mathlib-categorytheory-triangulated,Shift | CompatibilityUnit | CompatibilityCounit | CommShift | HasShift,,
mathlib-combinatorics-setfamily,Mathlib.Combinatorics.SetFamily,229,títulos del subárbol,SET,combinatorics,combinatorics set family: The Ahlswede-Zhang identity; The four functions theorem and corollaries; Harris-Kleitman inequality; Intersecting families; Kleitman's bound on the size of intersecting families; Kruskal-Katona theorem,mathlib-algebra-bigoperators | mathlib-algebra-order | mathlib-data-finset | mathlib-data-nat | mathlib-data-rat | mathlib-logic-function,SetFamily | Intersecting | IsIntersectingOf | UsefulCompression | Shatters,,
mathlib-categorytheory-adjunction,Mathlib.CategoryTheory.Adjunction,228,Basic,CAT,category-theory,Adjunctions between functors F ⊣ G represents the data of an adjunction between two functors F : C ⥤ D and G : D ⥤ C . F is the left adjoint and G is the right adjoint. We provide various useful constructors: mkOfHomEquiv mk' : construct an adjunction from the data of a hom set e,mathlib-categorytheory-limits | mathlib-categorytheory-morphismproperty | mathlib-categorytheory-subobject,Adjunction | SolutionSetCondition | IsLeftAdjoint | IsRightAdjoint | CoreHomEquivUnitCounit,,
mathlib-categorytheory-subobject,Mathlib.CategoryTheory.Subobject,228,Basic,CAT,category-theory,"Subobjects We define Subobject X as the quotient (by isomorphisms) of MonoOver X := {f : Over X // Mono f.hom} . Here MonoOver X is a thin category (a pair of objects has at most one morphism between them), so we can think of it as a preorder. However as it is not skeletal, it is",mathlib-categorytheory-adjunction | mathlib-categorytheory-limits | mathlib-categorytheory-objectproperty | mathlib-data-finset | mathlib-data-set,Subobject | IsArtinianObject | Factors | MonoOver | IsNoetherianObject,,
mathlib-grouptheory-specificgroups,Mathlib.GroupTheory.SpecificGroups,226,títulos del subárbol,SET,algebra,group theory specific groups: Alternating Groups; Cyclic groups; Dihedral Groups; Klein Four Group; Quaternion Groups; Centralizer of an element in the alternating group,mathlib-algebra-order | mathlib-data-nat | mathlib-grouptheory-groupaction | mathlib-grouptheory-perm | mathlib-logic-equiv,SpecificGroups | IsAddKleinFour | IsKleinFour | IsZGroup,,
mathlib-ringtheory-extension,Mathlib.RingTheory.Extension,225,Basic,SET,algebra,Extension of algebras Main definitions - Algebra.Extension : An extension of an R -algebra S is an R algebra P together with a surjection P →ₐ[R] R . - Algebra.Extension.Hom : Given a commuting square R --→ P -→ S | | ↓ ↓ R' -→ P' → S A hom between P and P' is a ring homomorphism,mathlib-algebra-mvpolynomial | mathlib-linearalgebra-basis | mathlib-linearalgebra-tensorproduct | mathlib-ringtheory-localization | mathlib-ringtheory-mvpolynomial | mathlib-ringtheory-tensorproduct,Extension | Hom | Cotangent | Generators | Ring,,
mathlib-data-sym,Mathlib.Data.Sym,223,Basic,SET,algebra,"Symmetric powers This file defines symmetric powers of a type. The nth symmetric power consists of homogeneous n-tuples modulo permutations by the symmetric group. The special case of 2-tuples is called the symmetric square, which is addressed in more detail in Data.Sym.Sym2 . TO",mathlib-algebra-bigoperators | mathlib-algebra-order | mathlib-data-finset | mathlib-data-finsupp,Sym | Sym' | Sym2 | Mem | IsDiag,,
mathlib-algebra-directsum,Mathlib.Algebra.DirectSum,221,Basic,SET,algebra,"Direct sum This file defines the direct sum of abelian groups, indexed by a discrete type. Notation ⨁ i, β i is the n-ary direct sum DirectSum . This notation is in the DirectSum locale, accessible after open DirectSum . References https://en.wikipedia.org/wiki/Direct_sum",mathlib-algebra-order | mathlib-data-dfinsupp | mathlib-data-finsupp | mathlib-linearalgebra-basis,DirectSum | GAlgebra | IsInternal | Decomposition | IsHomogeneous,,
mathlib-computability-primrec,Mathlib.Computability.Primrec,221,Basic,TYPE,computation,"The primitive recursive functions The primitive recursive functions are the least collection of functions ℕ → ℕ which are closed under projections (using the pair pairing function), composition, zero, successor, and primitive recursion (i.e. Nat.rec where the motive is C n := ℕ )",mathlib-algebra-order | mathlib-logic-function,Primrec | Primcodable | Primrec₂ | PrimrecPred | PrimrecRel,,
mathlib-fieldtheory-ratfunc,Mathlib.FieldTheory.RatFunc,218,Basic,SET,algebra,The field structure of rational functions Main definitions Working with rational functions as polynomials: - RatFunc.instField provides a field structure You can use IsFractionRing API to treat RatFunc as the field of fractions of polynomials: algebraMap K[X] K⟮X⟯ maps polynomial,mathlib-algebra-charp | mathlib-algebra-polynomial | mathlib-ringtheory-dedekinddomain | mathlib-ringtheory-localization | mathlib-ringtheory-polynomial,RatFunc,,
mathlib-linearalgebra-linearindependent,Mathlib.LinearAlgebra.LinearIndependent,217,Basic,SET,algebra,Linear independence This file collects basic consequences of linear (in)dependence and includes specialized tests for specific families of vectors. Main statements We prove several specialized tests for linear independence of families of vectors and of sets of vectors. linearInde,mathlib-algebra-bigoperators | mathlib-algebra-order | mathlib-data-fin | mathlib-linearalgebra-dual | mathlib-linearalgebra-finsupp | mathlib-logic-equiv,LinearIndependent | LinearIndepOn | Maximal,,
mathlib-data-enat,Mathlib.Data.ENat,214,Basic,SET,algebra,Definition and basic properties of extended natural numbers In this file we define ENat (notation: ℕ∞ ) to be WithTop ℕ and prove some basic lemmas about this type. Implementation details There are two natural coercions from ℕ to WithTop ℕ = ENat : WithTop.some and Nat.cast . In ,mathlib-algebra-order | mathlib-data-nat,ENat | ENatMap,,
mathlib-data-num,Mathlib.Data.Num,213,Basic,SET,algebra,"Binary representation of integers using inductive types Note: Unlike in Coq, where this representation is preferred because of the reliance on kernel reduction, in Lean this representation is discouraged in favor of the ""Peano"" natural numbers Nat , and the purpose of this collec",mathlib-algebra-order | mathlib-data-int | mathlib-data-nat,Num | Prime,,
mathlib-linearalgebra-span,Mathlib.LinearAlgebra.Span,211,Basic,SET,algebra,"The span of a set of vectors, as a submodule Submodule.span s is defined to be the smallest submodule containing the set s . Notation We introduce the notation R ∙ v for the span of a singleton, Submodule.span R {v} . This is \span , not the same as the scalar multiplication • / ",mathlib-combinatorics-matroid | mathlib-data-nat | mathlib-data-sym | mathlib-linearalgebra-dimension | mathlib-linearalgebra-finsupp,Span | IsPrincipal,,
mathlib-order-bounds,Mathlib.Order.Bounds,211,Basic,SET,set-theory,"Upper / lower bounds In this file we prove various lemmas about upper/lower bounds of a set: monotonicity, behaviour under ∪ , ∩ , insert , and provide formulas for ∅ , univ , and intervals.",mathlib-data-set | mathlib-order-hom | mathlib-order-interval,Bounds | BddAbove | IsLeast | IsLUB | IsCofinalFor,,
mathlib-topology-openpartialhomeomorph,Mathlib.Topology.OpenPartialHomeomorph,211,Basic,SET,topology,Partial homeomorphisms: basic theory Main definitions OpenPartialHomeomorph.refl : the identity open partial homeomorphism Topology.IsOpenEmbedding.toOpenPartialHomeomorph : construct a partial homeomorphism from an open embedding,mathlib-logic-equiv | mathlib-topology-sets,OpenPartialHomeomorph | IsImage | EqOnSource,,
mathlib-logic-basic,Mathlib.Logic.Basic,209,docstring propio,LOG,logic,Basic logic properties This file is one of the earliest imports in mathlib. Implementation notes Theorems that require decidability hypotheses are in the namespace Decidable . Classical versions are in the namespace Classical .,,Basic | Fact | Xor',,
mathlib-ringtheory-integralclosure,Mathlib.RingTheory.IntegralClosure,209,títulos del subárbol,SET,algebra,ring theory integral closure: Going down for integrally closed domains; Integrally closed rings; Integral closure of a subring.; Integral algebras; Integrality over ideals; Almost integral elements,mathlib-algebra-polynomial | mathlib-ringtheory-dedekinddomain | mathlib-ringtheory-localization | mathlib-ringtheory-polynomial | mathlib-ringtheory-tensorproduct,IntegralClosure | IsIntegrallyClosedIn | IsIntegrallyClosed | IsIntegral | IsAlmostIntegral,,
mathlib-linearalgebra-basis,Mathlib.LinearAlgebra.Basis,207,Basic,SET,algebra,Basic results on bases The main goal of this file is to show the equivalence between bases and families of vectors that are linearly independent and whose span is the whole space. There are also various lemmas on bases on specific spaces (such as empty or singletons). Main result,mathlib-data-fin | mathlib-linearalgebra-dual | mathlib-linearalgebra-finsupp | mathlib-linearalgebra-linearindependent | mathlib-linearalgebra-span,Basis,,
